date_pollutant_added,date_experiment,replicate_number,part_hidden,treatment,percentile,time_min,copepod_count,proportion
11/9/2021,11/9/2021,1,top,control,25-50,0,11,0.11
11/9/2021,11/9/2021,1,top,control,0-25,0,17,0.17
11/9/2021,11/9/2021,1,top,env_rel,25-50,0,17,0.17
11/9/2021,11/9/2021,1,top,env_rel,0-25,0,18,0.18
11/9/2021,11/9/2021,1,top,high,25-50,0,12,0.12
11/9/2021,11/9/2021,1,top,high,0-25,0,20,0.2
11/9/2021,11/9/2021,1,top,control,25-50,5,5,0.05
11/9/2021,11/9/2021,1,top,control,0-25,5,13,0.13
11/9/2021,11/9/2021,1,top,env_rel,25-50,5,4,0.04
11/9/2021,11/9/2021,1,top,env_rel,0-25,5,15,0.15
11/9/2021,11/9/2021,1,top,high,25-50,5,6,0.06
11/9/2021,11/9/2021,1,top,high,0-25,5,16,0.16
11/9/2021,11/9/2021,1,top,control,25-50,10,3,0.03
11/9/2021,11/9/2021,1,top,control,0-25,10,13,0.13
11/9/2021,11/9/2021,1,top,env_rel,25-50,10,6,0.06
11/9/2021,11/9/2021,1,top,env_rel,0-25,10,12,0.12
11/9/2021,11/9/2021,1,top,high,25-50,10,6,0.06
11/9/2021,11/9/2021,1,top,high,0-25,10,15,0.15
11/9/2021,11/9/2021,1,top,control,25-50,15,8,0.08
11/9/2021,11/9/2021,1,top,control,0-25,15,25,0.25
11/9/2021,11/9/2021,1,top,env_rel,25-50,15,7,0.07
11/9/2021,11/9/2021,1,top,env_rel,0-25,15,16,0.16
11/9/2021,11/9/2021,1,top,high,25-50,15,6,0.06
11/9/2021,11/9/2021,1,top,high,0-25,15,10,0.1
11/9/2021,11/9/2021,1,top,control,25-50,20,7,0.07
11/9/2021,11/9/2021,1,top,control,0-25,20,20,0.2
11/9/2021,11/9/2021,1,top,env_rel,25-50,20,4,0.04
11/9/2021,11/9/2021,1,top,env_rel,0-25,20,21,0.21
11/9/2021,11/9/2021,1,top,high,25-50,20,4,0.04
11/9/2021,11/9/2021,1,top,high,0-25,20,16,0.16
11/9/2021,11/9/2021,1,top,control,25-50,25,7,0.07
11/9/2021,11/9/2021,1,top,control,0-25,25,20,0.2
11/9/2021,11/9/2021,1,top,env_rel,25-50,25,5,0.05
11/9/2021,11/9/2021,1,top,env_rel,0-25,25,16,0.16
11/9/2021,11/9/2021,1,top,high,25-50,25,5,0.05
11/9/2021,11/9/2021,1,top,high,0-25,25,20,0.2
11/9/2021,11/9/2021,1,top,control,25-50,30,6,0.06
11/9/2021,11/9/2021,1,top,control,0-25,30,12,0.12
11/9/2021,11/9/2021,1,top,env_rel,25-50,30,3,0.03
11/9/2021,11/9/2021,1,top,env_rel,0-25,30,15,0.15
11/9/2021,11/9/2021,1,top,high,25-50,30,4,0.04
11/9/2021,11/9/2021,1,top,high,0-25,30,14,0.14
11/9/2021,11/9/2021,2,top,control,25-50,0,8,0.08
11/9/2021,11/9/2021,2,top,control,0-25,0,21,0.21
11/9/2021,11/9/2021,2,top,env_rel,25-50,0,18,0.18
11/9/2021,11/9/2021,2,top,env_rel,0-25,0,12,0.12
11/9/2021,11/9/2021,2,top,high,25-50,0,17,0.17
11/9/2021,11/9/2021,2,top,high,0-25,0,15,0.15
11/9/2021,11/9/2021,2,top,control,25-50,5,4,0.04
11/9/2021,11/9/2021,2,top,control,0-25,5,8,0.08
11/9/2021,11/9/2021,2,top,env_rel,25-50,5,1,0.01
11/9/2021,11/9/2021,2,top,env_rel,0-25,5,15,0.15
11/9/2021,11/9/2021,2,top,high,25-50,5,7,0.07
11/9/2021,11/9/2021,2,top,high,0-25,5,19,0.19
11/9/2021,11/9/2021,2,top,control,25-50,10,3,0.03
11/9/2021,11/9/2021,2,top,control,0-25,10,13,0.13
11/9/2021,11/9/2021,2,top,env_rel,25-50,10,5,0.05
11/9/2021,11/9/2021,2,top,env_rel,0-25,10,11,0.11
11/9/2021,11/9/2021,2,top,high,25-50,10,3,0.03
11/9/2021,11/9/2021,2,top,high,0-25,10,15,0.15
11/9/2021,11/9/2021,2,top,control,25-50,15,4,0.04
11/9/2021,11/9/2021,2,top,control,0-25,15,15,0.15
11/9/2021,11/9/2021,2,top,env_rel,25-50,15,5,0.05
11/9/2021,11/9/2021,2,top,env_rel,0-25,15,16,0.16
11/9/2021,11/9/2021,2,top,high,25-50,15,4,0.04
11/9/2021,11/9/2021,2,top,high,0-25,15,15,0.15
11/9/2021,11/9/2021,2,top,control,25-50,20,3,0.03
11/9/2021,11/9/2021,2,top,control,0-25,20,12,0.12
11/9/2021,11/9/2021,2,top,env_rel,25-50,20,1,0.01
11/9/2021,11/9/2021,2,top,env_rel,0-25,20,13,0.13
11/9/2021,11/9/2021,2,top,high,25-50,20,5,0.05
11/9/2021,11/9/2021,2,top,high,0-25,20,21,0.21
11/9/2021,11/9/2021,2,top,control,25-50,25,4,0.04
11/9/2021,11/9/2021,2,top,control,0-25,25,8,0.08
11/9/2021,11/9/2021,2,top,env_rel,25-50,25,3,0.03
11/9/2021,11/9/2021,2,top,env_rel,0-25,25,15,0.15
11/9/2021,11/9/2021,2,top,high,25-50,25,5,0.05
11/9/2021,11/9/2021,2,top,high,0-25,25,13,0.13
11/9/2021,11/9/2021,2,top,control,25-50,30,5,0.05
11/9/2021,11/9/2021,2,top,control,0-25,30,7,0.07
11/9/2021,11/9/2021,2,top,env_rel,25-50,30,1,0.01
11/9/2021,11/9/2021,2,top,env_rel,0-25,30,13,0.13
11/9/2021,11/9/2021,2,top,high,25-50,30,1,0.01
11/9/2021,11/9/2021,2,top,high,0-25,30,12,0.12
11/9/2021,11/9/2021,3,top,control,25-50,0,18,0.18
11/9/2021,11/9/2021,3,top,control,0-25,0,20,0.2
11/9/2021,11/9/2021,3,top,env_rel,25-50,0,21,0.21
11/9/2021,11/9/2021,3,top,env_rel,0-25,0,17,0.17
11/9/2021,11/9/2021,3,top,high,25-50,0,19,0.19
11/9/2021,11/9/2021,3,top,high,0-25,0,21,0.21
11/9/2021,11/9/2021,3,top,control,25-50,5,6,0.06
11/9/2021,11/9/2021,3,top,control,0-25,5,14,0.14
11/9/2021,11/9/2021,3,top,env_rel,25-50,5,6,0.06
11/9/2021,11/9/2021,3,top,env_rel,0-25,5,18,0.18
11/9/2021,11/9/2021,3,top,high,25-50,5,4,0.04
11/9/2021,11/9/2021,3,top,high,0-25,5,16,0.16
11/9/2021,11/9/2021,3,top,control,25-50,10,2,0.02
11/9/2021,11/9/2021,3,top,control,0-25,10,16,0.16
11/9/2021,11/9/2021,3,top,env_rel,25-50,10,5,0.05
11/9/2021,11/9/2021,3,top,env_rel,0-25,10,13,0.13
11/9/2021,11/9/2021,3,top,high,25-50,10,10,0.1
11/9/2021,11/9/2021,3,top,high,0-25,10,18,0.18
11/9/2021,11/9/2021,3,top,control,25-50,15,5,0.05
11/9/2021,11/9/2021,3,top,control,0-25,15,17,0.17
11/9/2021,11/9/2021,3,top,env_rel,25-50,15,3,0.03
11/9/2021,11/9/2021,3,top,env_rel,0-25,15,18,0.18
11/9/2021,11/9/2021,3,top,high,25-50,15,7,0.07
11/9/2021,11/9/2021,3,top,high,0-25,15,27,0.27
11/9/2021,11/9/2021,3,top,control,25-50,20,6,0.06
11/9/2021,11/9/2021,3,top,control,0-25,20,18,0.18
11/9/2021,11/9/2021,3,top,env_rel,25-50,20,3,0.03
11/9/2021,11/9/2021,3,top,env_rel,0-25,20,13,0.13
11/9/2021,11/9/2021,3,top,high,25-50,20,8,0.08
11/9/2021,11/9/2021,3,top,high,0-25,20,25,0.25
11/9/2021,11/9/2021,3,top,control,25-50,25,3,0.03
11/9/2021,11/9/2021,3,top,control,0-25,25,10,0.1
11/9/2021,11/9/2021,3,top,env_rel,25-50,25,2,0.02
11/9/2021,11/9/2021,3,top,env_rel,0-25,25,11,0.11
11/9/2021,11/9/2021,3,top,high,25-50,25,5,0.05
11/9/2021,11/9/2021,3,top,high,0-25,25,29,0.29
11/9/2021,11/9/2021,3,top,control,25-50,30,4,0.04
11/9/2021,11/9/2021,3,top,control,0-25,30,10,0.1
11/9/2021,11/9/2021,3,top,env_rel,25-50,30,2,0.02
11/9/2021,11/9/2021,3,top,env_rel,0-25,30,14,0.14
11/9/2021,11/9/2021,3,top,high,25-50,30,6,0.06
11/9/2021,11/9/2021,3,top,high,0-25,30,27,0.27
11/9/2021,11/9/2021,4,top,control,25-50,0,15,0.15
11/9/2021,11/9/2021,4,top,control,0-25,0,19,0.19
11/9/2021,11/9/2021,4,top,env_rel,25-50,0,14,0.14
11/9/2021,11/9/2021,4,top,env_rel,0-25,0,21,0.21
11/9/2021,11/9/2021,4,top,high,25-50,0,9,0.09
11/9/2021,11/9/2021,4,top,high,0-25,0,17,0.17
11/9/2021,11/9/2021,4,top,control,25-50,5,10,0.1
11/9/2021,11/9/2021,4,top,control,0-25,5,19,0.19
11/9/2021,11/9/2021,4,top,env_rel,25-50,5,9,0.09
11/9/2021,11/9/2021,4,top,env_rel,0-25,5,18,0.18
11/9/2021,11/9/2021,4,top,high,25-50,5,7,0.07
11/9/2021,11/9/2021,4,top,high,0-25,5,16,0.16
11/9/2021,11/9/2021,4,top,control,25-50,10,7,0.07
11/9/2021,11/9/2021,4,top,control,0-25,10,13,0.13
11/9/2021,11/9/2021,4,top,env_rel,25-50,10,6,0.06
11/9/2021,11/9/2021,4,top,env_rel,0-25,10,14,0.14
11/9/2021,11/9/2021,4,top,high,25-50,10,3,0.03
11/9/2021,11/9/2021,4,top,high,0-25,10,12,0.12
11/9/2021,11/9/2021,4,top,control,25-50,15,4,0.04
11/9/2021,11/9/2021,4,top,control,0-25,15,12,0.12
11/9/2021,11/9/2021,4,top,env_rel,25-50,15,5,0.05
11/9/2021,11/9/2021,4,top,env_rel,0-25,15,10,0.1
11/9/2021,11/9/2021,4,top,high,25-50,15,3,0.03
11/9/2021,11/9/2021,4,top,high,0-25,15,10,0.1
11/9/2021,11/9/2021,4,top,control,25-50,20,5,0.05
11/9/2021,11/9/2021,4,top,control,0-25,20,15,0.15
11/9/2021,11/9/2021,4,top,env_rel,25-50,20,4,0.04
11/9/2021,11/9/2021,4,top,env_rel,0-25,20,12,0.12
11/9/2021,11/9/2021,4,top,high,25-50,20,4,0.04
11/9/2021,11/9/2021,4,top,high,0-25,20,13,0.13
11/9/2021,11/9/2021,4,top,control,25-50,25,6,0.06
11/9/2021,11/9/2021,4,top,control,0-25,25,12,0.12
11/9/2021,11/9/2021,4,top,env_rel,25-50,25,5,0.05
11/9/2021,11/9/2021,4,top,env_rel,0-25,25,14,0.14
11/9/2021,11/9/2021,4,top,high,25-50,25,3,0.03
11/9/2021,11/9/2021,4,top,high,0-25,25,15,0.15
11/9/2021,11/9/2021,4,top,control,25-50,30,4,0.04
11/9/2021,11/9/2021,4,top,control,0-25,30,11,0.11
11/9/2021,11/9/2021,4,top,env_rel,25-50,30,5,0.05
11/9/2021,11/9/2021,4,top,env_rel,0-25,30,9,0.09
11/9/2021,11/9/2021,4,top,high,25-50,30,4,0.04
11/9/2021,11/9/2021,4,top,high,0-25,30,13,0.13